"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	11156	"J01"
1987	2	16	109	11403	"J01"
1987	3	17	116	11688	"J01"
1987	4	18	123	11620	"J01"
1987	5	19	130	11567	"J01"
1987	6	20	137	12249	"J01"
1987	7	21	144	12907	"J01"
1987	8	22	151	13522	"J01"
1987	9	23	158	14047	"J01"
1987	10	24	165	14121	"J01"
1987	11	25	172	14041	"J01"
1987	12	26	179	13974	"J01"
1987	13	27	186	14751	"J01"
1987	14	28	193	15307	"J01"
1987	15	29	200	15529	"J01"
1987	16	30	207	15178	"J01"
1987	17	31	214	15055	"J01"
1987	18	32	221	15097	"J01"
1987	19	33	228	15145	"J01"
1987	20	34	235	15162	"J01"
1987	21	35	242	15108	"J01"
1987	22	36	249	14737	"J01"
1987	23	37	256	14354	"J01"
1987	24	38	263	14020	"J01"
1987	25	39	270	13885	"J01"
1987	26	40	277	12895	"J01"
1987	27	41	284	11861	"J01"
1987	28	42	291	11172	"J01"
1988	1	14	95	10869	"J01"
1988	2	15	102	11391	"J01"
1988	3	16	109	11665	"J01"
1988	4	17	116	11782	"J01"
1988	5	18	123	11735	"J01"
1988	6	19	130	11688	"J01"
1988	7	20	137	11785	"J01"
1988	8	21	144	12026	"J01"
1988	9	22	151	12026	"J01"
1988	10	23	158	12794	"J01"
1988	11	24	165	14195	"J01"
1988	12	25	172	13832	"J01"
1988	13	26	179	13986	"J01"
1988	14	27	186	14426	"J01"
1988	15	28	193	14867	"J01"
1988	16	29	200	15001	"J01"
1988	17	30	207	15089	"J01"
1988	18	31	214	15224	"J01"
1988	19	32	221	15133	"J01"
1988	20	33	228	15000	"J01"
1988	21	34	235	14908	"J01"
1988	22	35	242	14816	"J01"
1988	23	36	249	14382	"J01"
1988	24	37	256	13331	"J01"
1988	25	38	263	12279	"J01"
1988	26	39	270	11616	"J01"
1988	27	40	277	11290	"J01"
1988	28	41	284	10299	"J01"
1989	1	14	95	10428	"J01"
1989	2	15	102	10671	"J01"
1989	3	16	109	10930	"J01"
1989	4	17	116	11197	"J01"
1989	5	18	123	11456	"J01"
1989	6	19	130	12316	"J01"
1989	7	20	137	13059	"J01"
1989	8	21	144	13300	"J01"
1989	9	22	151	13653	"J01"
1989	10	23	158	13963	"J01"
1989	11	24	165	14159	"J01"
1989	12	25	172	14357	"J01"
1989	13	26	179	14290	"J01"
1989	14	27	186	13995	"J01"
1989	15	28	193	14158	"J01"
1989	16	29	200	14315	"J01"
1989	17	30	207	14440	"J01"
1989	18	31	214	14406	"J01"
1989	19	32	221	14606	"J01"
1989	20	33	228	14807	"J01"
1989	21	34	235	14527	"J01"
1989	22	35	242	14267	"J01"
1989	23	36	249	14012	"J01"
1989	24	37	256	13747	"J01"
1989	25	38	263	12965	"J01"
1989	26	39	270	12042	"J01"
1989	27	40	277	11118	"J01"
1989	28	41	284	10687	"J01"
1990	1	14	95	10414	"J01"
1990	2	15	102	10768	"J01"
1990	3	16	109	11059	"J01"
1990	4	17	116	11264	"J01"
1990	5	18	123	11550	"J01"
1990	6	19	130	11733	"J01"
1990	7	20	137	11953	"J01"
1990	8	21	144	12522	"J01"
1990	9	22	151	13304	"J01"
1990	10	23	158	13998	"J01"
1990	11	24	165	14061	"J01"
1990	12	25	172	14269	"J01"
1990	13	26	179	14516	"J01"
1990	14	27	186	14764	"J01"
1990	15	28	193	14750	"J01"
1990	16	29	200	14718	"J01"
1990	17	30	207	14711	"J01"
1990	18	31	214	15047	"J01"
1990	19	32	221	15366	"J01"
1990	20	33	228	15589	"J01"
1990	21	34	235	15099	"J01"
1990	22	35	242	14610	"J01"
1990	23	36	249	14152	"J01"
1990	24	37	256	14100	"J01"
1990	25	38	263	13465	"J01"
1990	26	39	270	12506	"J01"
1990	27	40	277	11547	"J01"
1990	28	41	284	10756	"J01"
1991	1	14	95	11441	"J01"
1991	2	15	102	11217	"J01"
1991	3	16	109	11050	"J01"
