"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	11814	"ME"
1987	2	16	109	11898	"ME"
1987	3	17	116	11995	"ME"
1987	4	18	123	11992	"ME"
1987	5	19	130	11937	"ME"
1987	6	20	137	11882	"ME"
1987	7	21	144	12819	"ME"
1987	8	22	151	13776	"ME"
1987	9	23	158	14105	"ME"
1987	10	24	165	14225	"ME"
1987	11	25	172	14326	"ME"
1987	12	26	179	14410	"ME"
1987	13	27	186	14846	"ME"
1987	14	28	193	14720	"ME"
1987	15	29	200	14074	"ME"
1987	16	30	207	14317	"ME"
1987	17	31	214	14579	"ME"
1987	18	32	221	14789	"ME"
1987	19	33	228	14789	"ME"
1987	20	34	235	14789	"ME"
1987	21	35	242	14740	"ME"
1987	22	36	249	14399	"ME"
1987	23	37	256	14048	"ME"
1987	24	38	263	13736	"ME"
1987	25	39	270	13594	"ME"
1987	26	40	277	12535	"ME"
1987	27	41	284	11598	"ME"
1987	28	42	291	11331	"ME"
1988	1	14	95	10965	"ME"
1988	2	15	102	10913	"ME"
1988	3	16	109	10862	"ME"
1988	4	17	116	10853	"ME"
1988	5	18	123	10920	"ME"
1988	6	19	130	11238	"ME"
1988	7	20	137	11386	"ME"
1988	8	21	144	11345	"ME"
1988	9	22	151	11702	"ME"
1988	10	23	158	12760	"ME"
1988	11	24	165	14352	"ME"
1988	12	25	172	13778	"ME"
1988	13	26	179	13205	"ME"
1988	14	27	186	12850	"ME"
1988	15	28	193	13293	"ME"
1988	16	29	200	13719	"ME"
1988	17	30	207	14277	"ME"
1988	18	31	214	14945	"ME"
1988	19	32	221	14835	"ME"
1988	20	33	228	14605	"ME"
1988	21	34	235	14566	"ME"
1988	22	35	242	14528	"ME"
1988	23	36	249	13610	"ME"
1988	24	37	256	11106	"ME"
1988	25	38	263	10867	"ME"
1988	26	39	270	11017	"ME"
1988	27	40	277	11224	"ME"
1988	28	41	284	9370	"ME"
1989	1	14	95	11441	"ME"
1989	2	15	102	11235	"ME"
1989	3	16	109	11325	"ME"
1989	4	17	116	11579	"ME"
1989	5	18	123	11833	"ME"
1989	6	19	130	12155	"ME"
1989	7	20	137	12787	"ME"
1989	8	21	144	13942	"ME"
1989	9	22	151	14363	"ME"
1989	10	23	158	14525	"ME"
1989	11	24	165	14442	"ME"
1989	12	25	172	14360	"ME"
1989	13	26	179	14413	"ME"
1989	14	27	186	14599	"ME"
1989	15	28	193	14785	"ME"
1989	16	29	200	14752	"ME"
1989	17	30	207	14616	"ME"
1989	18	31	214	14602	"ME"
1989	19	32	221	14586	"ME"
1989	20	33	228	14553	"ME"
1989	21	34	235	14458	"ME"
1989	22	35	242	14341	"ME"
1989	23	36	249	14215	"ME"
1989	24	37	256	14085	"ME"
1989	25	38	263	12861	"ME"
1989	26	39	270	11709	"ME"
1989	27	40	277	11221	"ME"
1989	28	41	284	10906	"ME"
1990	1	14	95	10402	"ME"
1990	2	15	102	10905	"ME"
1990	3	16	109	11276	"ME"
1990	4	17	116	11487	"ME"
