"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	10853	"MS"
1987	2	16	109	10902	"MS"
1987	3	17	116	11121	"MS"
1987	4	18	123	11210	"MS"
1987	5	19	130	11236	"MS"
1987	6	20	137	11262	"MS"
1987	7	21	144	12314	"MS"
1987	8	22	151	13373	"MS"
1987	9	23	158	13755	"MS"
1987	10	24	165	13894	"MS"
1987	11	25	172	14062	"MS"
1987	12	26	179	14299	"MS"
1987	13	27	186	14908	"MS"
1987	14	28	193	14718	"MS"
1987	15	29	200	13799	"MS"
1987	16	30	207	14118	"MS"
1987	17	31	214	14462	"MS"
1987	18	32	221	14749	"MS"
1987	19	33	228	14932	"MS"
1987	20	34	235	14997	"MS"
1987	21	35	242	14938	"MS"
1987	22	36	249	14528	"MS"
1987	23	37	256	14105	"MS"
1987	24	38	263	13736	"MS"
1987	25	39	270	13594	"MS"
1987	26	40	277	12522	"MS"
1987	27	41	284	11648	"MS"
1987	28	42	291	11587	"MS"
1988	1	14	95	10896	"MS"
1988	2	15	102	10528	"MS"
1988	3	16	109	10440	"MS"
1988	4	17	116	10472	"MS"
1988	5	18	123	10581	"MS"
1988	6	19	130	10689	"MS"
1988	7	20	137	10929	"MS"
1988	8	21	144	11300	"MS"
1988	9	22	151	11866	"MS"
1988	10	23	158	12934	"MS"
1988	11	24	165	14342	"MS"
1988	12	25	172	13634	"MS"
1988	13	26	179	12926	"MS"
1988	14	27	186	12540	"MS"
1988	15	28	193	13333	"MS"
1988	16	29	200	14098	"MS"
1988	17	30	207	14835	"MS"
1988	18	31	214	15347	"MS"
1988	19	32	221	15136	"MS"
1988	20	33	228	14873	"MS"
1988	21	34	235	14893	"MS"
1988	22	35	242	14913	"MS"
1988	23	36	249	13930	"MS"
1988	24	37	256	11141	"MS"
1988	25	38	263	11076	"MS"
1988	26	39	270	11221	"MS"
1988	27	40	277	11226	"MS"
1988	28	41	284	9403	"MS"
1989	1	14	95	10456	"MS"
1989	2	15	102	10442	"MS"
1989	3	16	109	10555	"MS"
1989	4	17	116	10739	"MS"
1989	5	18	123	10923	"MS"
1989	6	19	130	11739	"MS"
1989	7	20	137	12713	"MS"
1989	8	21	144	13661	"MS"
1989	9	22	151	14175	"MS"
1989	10	23	158	14461	"MS"
1989	11	24	165	14469	"MS"
1989	12	25	172	14477	"MS"
1989	13	26	179	14546	"MS"
1989	14	27	186	14676	"MS"
1989	15	28	193	14806	"MS"
1989	16	29	200	14752	"MS"
1989	17	30	207	14622	"MS"
1989	18	31	214	14636	"MS"
1989	19	32	221	14652	"MS"
1989	20	33	228	14480	"MS"
1989	21	34	235	13616	"MS"
1989	22	35	242	13586	"MS"
1989	23	36	249	13893	"MS"
1989	24	37	256	14213	"MS"
1989	25	38	263	12566	"MS"
1989	26	39	270	11110	"MS"
1989	27	40	277	10961	"MS"
1989	28	41	284	10813	"MS"
1990	1	14	95	10325	"MS"
1990	2	15	102	10599	"MS"
1990	3	16	109	10767	"MS"
1990	4	17	116	10807	"MS"
1990	5	18	123	10848	"MS"
1990	6	19	130	10849	"MS"
1990	7	20	137	10982	"MS"
1990	8	21	144	11673	"MS"
1990	9	22	151	11823	"MS"
1990	10	23	158	12175	"MS"
1990	11	24	165	14058	"MS"
1990	12	25	172	14348	"MS"
1990	13	26	179	14311	"MS"
1990	14	27	186	14467	"MS"
1990	15	28	193	14623	"MS"
1990	16	29	200	14775	"MS"
1990	17	30	207	14931	"MS"
1990	18	31	214	15067	"MS"
1990	19	32	221	15236	"MS"
1990	20	33	228	15365	"MS"
1990	21	34	235	14642	"MS"
1990	22	35	242	14321	"MS"
1990	23	36	249	14292	"MS"
1990	24	37	256	14135	"MS"
1990	25	38	263	13523	"MS"
1990	26	39	270	12660	"MS"
1990	27	40	277	11796	"MS"
1990	28	41	284	11064	"MS"
1991	1	14	95	10972	"MS"
1991	2	15	102	10563	"MS"
1991	3	16	109	10247	"MS"
1991	4	17	116	10297	"MS"
1991	5	18	123	10348	"MS"
1991	6	19	130	10999	"MS"
1991	7	20	137	12171	"MS"
1991	8	21	144	12307	"MS"
1991	9	22	151	12941	"MS"
1991	10	23	158	13929	"MS"
1991	11	24	165	14139	"MS"
1991	12	25	172	14181	"MS"
1991	13	26	179	14143	"MS"
1991	14	27	186	14227	"MS"
1991	15	28	193	14310	"MS"
1991	16	29	200	14375	"MS"
1991	17	30	207	14410	"MS"
1991	18	31	214	14622	"MS"
1991	19	32	221	14769	"MS"
1991	20	33	228	14742	"MS"
1991	21	34	235	14838	"MS"
1991	22	35	242	14702	"MS"
1991	23	36	249	14244	"MS"
1991	24	37	256	13509	"MS"
1991	25	38	263	12514	"MS"
1991	26	39	270	11369	"MS"
1991	27	40	277	11369	"MS"
1991	28	41	284	11369	"MS"
1992	1	15	102	10196	"MS"
1992	2	16	109	10215	"MS"
1992	3	17	116	10144	"MS"
1992	4	18	123	10253	"MS"
1992	5	19	130	10511	"MS"
1992	6	20	137	10957	"MS"
1992	7	21	144	11082	"MS"
1992	8	22	151	11388	"MS"
1992	9	23	158	12361	"MS"
1992	10	24	165	12579	"MS"
1992	11	25	172	12651	"MS"
1992	12	26	179	12816	"MS"
1992	13	27	186	12981	"MS"
1992	14	28	193	13121	"MS"
1992	15	29	200	13266	"MS"
1992	16	30	207	13780	"MS"
1992	17	31	214	14059	"MS"
1992	18	32	221	14121	"MS"
1992	19	33	228	13886	"MS"
1992	20	34	235	13660	"MS"
1992	21	35	242	13439	"MS"
1992	22	36	249	13223	"MS"
1992	23	37	256	13302	"MS"
1992	24	38	263	13543	"MS"
1992	25	39	270	13785	"MS"
1992	26	40	277	13013	"MS"
1992	27	41	284	11966	"MS"
1992	28	42	291	10918	"MS"
1993	1	14	95	10721	"MS"
1993	2	15	102	11337	"MS"
1993	3	16	109	11072	"MS"
1993	4	17	116	10774	"MS"
1993	5	18	123	10539	"MS"
1993	6	19	130	10692	"MS"
1993	7	20	137	10840	"MS"
1993	8	21	144	11185	"MS"
1993	9	22	151	12724	"MS"
1993	10	23	158	13698	"MS"
1993	11	24	165	14251	"MS"
1993	12	25	172	14405	"MS"
1993	13	26	179	14560	"MS"
1993	14	27	186	14649	"MS"
1993	15	28	193	14619	"MS"
1993	16	29	200	14591	"MS"
1993	17	30	207	14565	"MS"
1993	18	31	214	14548	"MS"
1993	19	32	221	14528	"MS"
1993	20	33	228	14668	"MS"
1993	21	34	235	14968	"MS"
1993	22	35	242	14530	"MS"
1993	23	36	249	14082	"MS"
1993	24	37	256	13553	"MS"
1993	25	38	263	12117	"MS"
1993	26	39	270	11452	"MS"
1993	27	40	277	11131	"MS"
1993	28	41	284	10509	"MS"
1994	1	14	95	11024	"MS"
1994	2	15	102	11286	"MS"
1994	3	16	109	11549	"MS"
1994	4	17	116	11514	"MS"
1994	5	18	123	10942	"MS"
1994	6	19	130	11365	"MS"
1994	7	20	137	11853	"MS"
1994	8	21	144	12329	"MS"
1994	9	22	151	12754	"MS"
1994	10	23	158	13190	"MS"
1994	11	24	165	13651	"MS"
1994	12	25	172	14295	"MS"
1994	13	26	179	14406	"MS"
1994	14	27	186	14221	"MS"
1994	15	28	193	14036	"MS"
1994	16	29	200	13935	"MS"
1994	17	30	207	13852	"MS"
1994	18	31	214	13780	"MS"
1994	19	32	221	13771	"MS"
1994	20	33	228	13802	"MS"
1994	21	34	235	13872	"MS"
1994	22	35	242	13408	"MS"
1994	23	36	249	12761	"MS"
1994	24	37	256	11945	"MS"
1994	25	38	263	11129	"MS"
1994	26	39	270	10691	"MS"
1994	27	40	277	10631	"MS"
1994	28	41	284	10572	"MS"
1995	1	14	95	11110	"MS"
1995	2	15	102	11466	"MS"
1995	3	16	109	11284	"MS"
1995	4	17	116	10880	"MS"
1995	5	18	123	10758	"MS"
1995	6	19	130	11024	"MS"
1995	7	20	137	11390	"MS"
1995	8	21	144	11746	"MS"
1995	9	22	151	12527	"MS"
1995	10	23	158	13467	"MS"
1995	11	24	165	14567	"MS"
1995	12	25	172	14798	"MS"
1995	13	26	179	14962	"MS"
1995	14	27	186	15117	"MS"
1995	15	28	193	15148	"MS"
1995	16	29	200	15178	"MS"
1995	17	30	207	15217	"MS"
1995	18	31	214	15275	"MS"
1995	19	32	221	15340	"MS"
1995	20	33	228	15336	"MS"
1995	21	34	235	15077	"MS"
1995	22	35	242	14992	"MS"
1995	23	36	249	14976	"MS"
1995	24	37	256	14960	"MS"
1995	25	38	263	14672	"MS"
1995	26	39	270	14076	"MS"
1995	27	40	277	13056	"MS"
1995	28	41	284	12038	"MS"
1996	1	14	95	11709	"MS"
1996	2	15	102	11311	"MS"
1996	3	16	109	11011	"MS"
1996	4	17	116	11081	"MS"
1996	5	18	123	11151	"MS"
1996	6	19	130	11311	"MS"
1996	7	20	137	11562	"MS"
1996	8	21	144	11802	"MS"
1996	9	22	151	12437	"MS"
1996	10	23	158	13470	"MS"
1996	11	24	165	14139	"MS"
1996	12	25	172	14494	"MS"
1996	13	26	179	14645	"MS"
1996	14	27	186	14909	"MS"
1996	15	28	193	15173	"MS"
1996	16	29	200	15219	"MS"
1996	17	30	207	14851	"MS"
1996	18	31	214	14876	"MS"
