"YEAR"	"BAND"	"WEEK"	"DOY"	"NDVI"	"SITE"
1987	1	15	102	11356	"MW"
1987	2	16	109	11440	"MW"
1987	3	17	116	11537	"MW"
1987	4	18	123	11781	"MW"
1987	5	19	130	12111	"MW"
1987	6	20	137	12441	"MW"
1987	7	21	144	13187	"MW"
1987	8	22	151	13834	"MW"
1987	9	23	158	13951	"MW"
1987	10	24	165	14024	"MW"
1987	11	25	172	14121	"MW"
1987	12	26	179	14202	"MW"
1987	13	27	186	14936	"MW"
1987	14	28	193	14543	"MW"
1987	15	29	200	13131	"MW"
1987	16	30	207	13748	"MW"
1987	17	31	214	14412	"MW"
1987	18	32	221	14940	"MW"
1987	19	33	228	14908	"MW"
1987	20	34	235	14897	"MW"
1987	21	35	242	14860	"MW"
1987	22	36	249	14603	"MW"
1987	23	37	256	14339	"MW"
1987	24	38	263	14111	"MW"
1987	25	39	270	14034	"MW"
1987	26	40	277	13065	"MW"
1987	27	41	284	12211	"MW"
1987	28	42	291	11998	"MW"
1988	1	14	95	10320	"MW"
1988	2	15	102	10298	"MW"
1988	3	16	109	10715	"MW"
1988	4	17	116	11082	"MW"
1988	5	18	123	11143	"MW"
1988	6	19	130	11205	"MW"
1988	7	20	137	11258	"MW"
1988	8	21	144	11300	"MW"
1988	9	22	151	11696	"MW"
1988	10	23	158	12638	"MW"
1988	11	24	165	13973	"MW"
1988	12	25	172	13341	"MW"
1988	13	26	179	13050	"MW"
1988	14	27	186	13119	"MW"
1988	15	28	193	13815	"MW"
1988	16	29	200	14484	"MW"
1988	17	30	207	15040	"MW"
1988	18	31	214	15257	"MW"
1988	19	32	221	15101	"MW"
1988	20	33	228	14943	"MW"
1988	21	34	235	14970	"MW"
1988	22	35	242	14996	"MW"
1988	23	36	249	14029	"MW"
1988	24	37	256	11272	"MW"
1988	25	38	263	11639	"MW"
1988	26	39	270	12246	"MW"
1988	27	40	277	12604	"MW"
1988	28	41	284	9734	"MW"
1989	1	14	95	10927	"MW"
1989	2	15	102	10566	"MW"
1989	3	16	109	10640	"MW"
1989	4	17	116	10957	"MW"
1989	5	18	123	11275	"MW"
1989	6	19	130	12025	"MW"
1989	7	20	137	12872	"MW"
1989	8	21	144	13681	"MW"
1989	9	22	151	14000	"MW"
1989	10	23	158	14211	"MW"
1989	11	24	165	14374	"MW"
1989	12	25	172	14537	"MW"
1989	13	26	179	14687	"MW"
1989	14	27	186	14825	"MW"
1989	15	28	193	14963	"MW"
1989	16	29	200	14926	"MW"
1989	17	30	207	14816	"MW"
1989	18	31	214	14842	"MW"
1989	19	32	221	14871	"MW"
1989	20	33	228	14819	"MW"
1989	21	34	235	14469	"MW"
1989	22	35	242	14353	"MW"
1989	23	36	249	14332	"MW"
1989	24	37	256	14309	"MW"
1989	25	38	263	12323	"MW"
1989	26	39	270	10788	"MW"
1989	27	40	277	11027	"MW"
1989	28	41	284	11267	"MW"
1990	1	14	95	10354	"MW"
1990	2	15	102	10422	"MW"
1990	3	16	109	10733	"MW"
1990	4	17	116	11288	"MW"
1990	5	18	123	11928	"MW"
1990	6	19	130	12444	"MW"
1990	7	20	137	12886	"MW"
1990	8	21	144	13312	"MW"
1990	9	22	151	13791	"MW"
1990	10	23	158	14248	"MW"
1990	11	24	165	14547	"MW"
1990	12	25	172	14427	"MW"
1990	13	26	179	14335	"MW"
1990	14	27	186	14494	"MW"
1990	15	28	193	14654	"MW"
1990	16	29	200	14818	"MW"
1990	17	30	207	14995	"MW"
1990	18	31	214	15150	"MW"
1990	19	32	221	15263	"MW"
1990	20	33	228	15272	"MW"
1990	21	34	235	14647	"MW"
1990	22	35	242	14370	"MW"
1990	23	36	249	14335	"MW"
1990	24	37	256	14048	"MW"
1990	25	38	263	13535	"MW"
1990	26	39	270	12897	"MW"
1990	27	40	277	12258	"MW"
1990	28	41	284	11343	"MW"
1991	1	14	95	10990	"MW"
1991	2	15	102	11606	"MW"
1991	3	16	109	11940	"MW"
1991	4	17	116	11462	"MW"
1991	5	18	123	11627	"MW"
1991	6	19	130	11842	"MW"
1991	7	20	137	12103	"MW"
1991	8	21	144	12965	"MW"
1991	9	22	151	13653	"MW"
1991	10	23	158	14180	"MW"
1991	11	24	165	14213	"MW"
1991	12	25	172	14163	"MW"
1991	13	26	179	14140	"MW"
1991	14	27	186	14399	"MW"
1991	15	28	193	14658	"MW"
1991	16	29	200	14807	"MW"
1991	17	30	207	14755	"MW"
1991	18	31	214	14710	"MW"
1991	19	32	221	14692	"MW"
1991	20	33	228	14728	"MW"
1991	21	34	235	14762	"MW"
1991	22	35	242	14552	"MW"
1991	23	36	249	14016	"MW"
1991	24	37	256	13553	"MW"
1991	25	38	263	12234	"MW"
1991	26	39	270	10208	"MW"
1991	27	40	277	10208	"MW"
1991	28	41	284	10208	"MW"
1992	1	15	102	10410	"MW"
1992	2	16	109	10863	"MW"
1992	3	17	116	10596	"MW"
1992	4	18	123	10601	"MW"
1992	5	19	130	10748	"MW"
1992	6	20	137	10896	"MW"
1992	7	21	144	11368	"MW"
1992	8	22	151	11978	"MW"
1992	9	23	158	12710	"MW"
1992	10	24	165	12603	"MW"
1992	11	25	172	12358	"MW"
1992	12	26	179	12741	"MW"
1992	13	27	186	13124	"MW"
1992	14	28	193	13375	"MW"
